gas,brake,steer,clutch,force feedback,timestamp
0.0,0.0,0.0,0.0,0.0,1650015181066
0.0,1.0,0.0,0.0,0.0,1650015181100
0.0,1.0,0.0,0.0,0.04049284756183624,1650015181115
0.0,1.0,0.0,0.0,0.09321221709251404,1650015181121
0.0,1.0,0.0,0.0,0.07331300526857376,1650015181152
0.0,1.0,0.0,0.0,0.021709410473704338,1650015181216
0.0,1.0,0.0,0.0,0.020094888284802437,1650015181281
0.0,1.0,0.0,0.0,0.00038421896169893444,1650015181340
0.0,1.0,0.0,0.0,0.00047453524894081056,1650015181364
0.0,1.0,0.0,0.0,0.00017775496235117316,1650015181382
0.0,1.0,0.0,0.0,1.814660026866477e-05,1650015181399
0.0,1.0,0.0,0.0,6.743115227436647e-05,1650015181411
0.0,1.0,0.0,0.0,5.24509850947652e-05,1650015181423
0.0,1.0,0.0,0.0,2.4940378352766857e-05,1650015181434
0.0,1.0,0.0,0.0,0.00011199620348634198,1650015181452
0.0,1.0,0.0,0.0,0.0003179534978698939,1650015181464
0.0,1.0,0.0,0.0,0.0001322318275924772,1650015181476
0.0,1.0,0.0,0.0,0.000447854254161939,1650015181487
0.0,1.0,0.0,0.0,0.0003539405297487974,1650015181499
0.0,1.0,0.0,0.0,5.1097391406074166e-05,1650015181511
0.0,1.0,0.0,0.0,0.000393636611988768,1650015181522
0.0,1.0,0.0,0.0,0.0004306752234697342,1650015181534
0.0,1.0,0.0,0.0,8.897620864445344e-05,1650015181546
0.0,1.0,0.0,0.0,9.266682900488377e-05,1650015181564
0.0,1.0,0.0,0.0,0.0003301215765532106,1650015181576
0.0,1.0,0.0,0.0,0.00022646055731456727,1650015181587
0.0,1.0,0.0,0.0,0.00022558405180461705,1650015181599
0.0,1.0,0.0,0.0,7.373021071543917e-05,1650015181611
0.0,1.0,0.0,0.0,0.00019201930263079703,1650015181623
0.0,1.0,0.0,0.0,0.00025203320547007024,1650015181635
0.0,1.0,0.0,0.0,1.1064045793318655e-05,1650015181646
0.0,1.0,0.0,0.0,0.00016663303540553898,1650015181658
0.0,1.0,0.0,0.0,0.000434666610090062,1650015181670
0.0,1.0,0.0,0.0,0.0003468708891887218,1650015181682
0.0,1.0,0.0,0.0,0.00024279278295580298,1650015181694
0.0,1.0,0.0,0.0,0.00023092480842024088,1650015181705
0.0,1.0,0.0,0.0,0.000135343725560233,1650015181717
0.0,1.0,0.0,0.0,4.829228782909922e-05,1650015181729
0.0,1.0,0.0,0.0,0.000363207800546661,1650015181747
0.0,1.0,0.0,0.0,8.182915189536288e-05,1650015181758
0.0,1.0,0.0,0.0,0.00045788902207277715,1650015181770
0.0,1.0,0.0,0.0,0.00012129058450227603,1650015181782
0.0,1.0,0.0,0.0,5.870770564797567e-06,1650015181794
0.0,1.0,0.0,0.0,6.0817455960204825e-05,1650015181805
0.0,1.0,0.0,0.0,0.0002681452315300703,1650015181817
0.0,1.0,0.0,0.0,0.00013026982196606696,1650015181829
0.0,1.0,0.0,0.0,0.0002280204207636416,1650015181840
